name,i1,i2,i3,o1
DMU_01,2.026,2.76,0.92,1.0
DMU_02,1.959,2.381,0.774,0.961
DMU_03,2.223,2.333,0.643,0.905
DMU_04,1.884,1.823,0.661,0.952
DMU_05,1.511,0.857,0.487,0.952
DMU_06,1.456,1.33,0.648,0.978
DMU_07,1.903,1.877,0.596,0.956
DMU_08,1.704,1.73,0.678,0.939
DMU_09,1.708,1.927,0.657,0.968
DMU_10,1.979,1.508,0.82,0.922
DMU_11,1.652,1.618,0.592,0.981
DMU_12,2.169,1.863,0.608,0.961
DMU_13,1.634,1.538,0.786,0.979
DMU_14,1.745,2.117,0.738,0.942
DMU_15,1.594,1.548,0.602,0.957
DMU_16,2.311,1.538,0.462,0.974
DMU_17,1.962,1.748,0.557,0.948
DMU_18,1.804,1.59,0.723,0.977
DMU_19,1.567,1.487,0.601,0.937
DMU_20,1.435,1.198,0.568,0.969
