candidate_name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,SZZ_efficiency,LCJ_efficiency,KAT_efficiency,boundary_flag
RZE_cand_9518,0.3,6.0,11.3,1.4,0.3,2.5,1.0,True,1.0,0.84,1.0,True
RZE_cand_9580,0.3,6.0,11.3,1.6,0.3,2.5,1.0,True,1.0,0.84,1.0,True
RZE_cand_9673,0.3,6.0,11.3,1.9,0.3,2.5,1.0,True,1.0,0.84,1.0,True
RZE_cand_9704,0.3,6.0,11.3,2.0,0.3,2.5,1.0,True,1.0,0.8500365764,1.0,True
RZE_cand_9735,0.3,6.0,11.3,2.1,0.3,2.5,1.0,True,1.0,0.8683666437,1.0,True
RZE_cand_9766,0.3,6.0,11.3,2.2,0.3,2.5,1.0,True,1.0,0.8846905537,1.0,True
RZE_cand_9797,0.3,6.0,11.3,2.3,0.3,2.5,1.0,True,1.0,0.8993205683,1.0,True
RZE_cand_9828,0.3,6.0,11.3,2.4,0.3,2.5,1.0,True,1.0,0.91250734,1.0,True
RZE_cand_9859,0.3,6.0,11.3,2.5,0.3,2.5,1.0,True,1.0,0.9244543928,1.0,True
RZE_cand_9860,0.3,6.0,11.3,2.5,0.3,2.7,1.0,True,1.0,0.8726888537,1.0,True
RZE_cand_9861,0.3,6.0,11.3,2.5,0.3,2.9,1.0,True,1.0,0.8264132066,1.0,True
RZE_cand_9890,0.3,6.0,11.3,2.6,0.3,2.5,1.0,True,1.0,0.9353287012,1.0,True
RZE_cand_9921,0.3,6.0,11.3,2.7,0.3,2.5,1.0,True,1.0,0.9452685422,1.0,True
RZE_cand_9952,0.3,6.0,11.3,2.8,0.3,2.5,1.0,True,1.0,0.9543894066,1.0,True
RZE_cand_9983,0.3,6.0,11.3,2.9,0.3,2.5,1.0,True,1.0,0.9627885068,1.0,True
RZE_cand_10014,0.3,6.0,11.3,3.0,0.3,2.5,1.0,True,1.0,0.9705482556,1.0,True
RZE_cand_10015,0.3,6.0,11.3,3.0,0.3,2.7,1.0,True,1.0,0.9260700389,1.0,True
RZE_cand_10016,0.3,6.0,11.3,3.0,0.3,2.9,1.0,True,1.0,0.8854898718,1.0,True
RZE_cand_10045,0.3,6.0,11.3,3.1,0.3,2.5,1.0,True,1.0,0.9777389786,1.0,True
RZE_cand_10046,0.3,6.0,11.3,3.1,0.3,2.7,1.0,True,1.0,0.9345014602,1.0,True
RZE_cand_10047,0.3,6.0,11.3,3.1,0.3,2.9,1.0,True,1.0,0.8949260887,1.0,True
RZE_cand_10262,0.4,6.0,11.3,1.3,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_cand_10263,0.4,6.0,11.3,1.3,0.3,2.7,1.0,True,1.0,1.0,1.0,True
RZE_cand_10293,0.4,6.0,11.3,1.4,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_cand_10294,0.4,6.0,11.3,1.4,0.3,2.7,1.0,True,1.0,1.0,1.0,True
RZE_cand_10295,0.4,6.0,11.3,1.4,0.3,2.9,1.0,True,1.0,0.9655172414,1.0,True
RZE_cand_10324,0.4,6.0,11.3,1.5,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_cand_10325,0.4,6.0,11.3,1.5,0.3,2.7,1.0,True,1.0,1.0,1.0,True
RZE_cand_10326,0.4,6.0,11.3,1.5,0.3,2.9,1.0,True,1.0,0.9655172414,1.0,True
RZE_cand_10355,0.4,6.0,11.3,1.6,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_cand_10356,0.4,6.0,11.3,1.6,0.3,2.7,1.0,True,1.0,1.0,1.0,True
RZE_cand_10357,0.4,6.0,11.3,1.6,0.3,2.9,1.0,True,1.0,0.9655172414,1.0,True
RZE_cand_10358,0.4,6.0,11.3,1.6,0.3,3.1,1.0,True,1.0,0.9032258065,1.0,True
RZE_cand_10386,0.4,6.0,11.3,1.7,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_cand_10387,0.4,6.0,11.3,1.7,0.3,2.7,1.0,True,1.0,1.0,1.0,True
RZE_cand_10388,0.4,6.0,11.3,1.7,0.3,2.9,1.0,True,1.0,0.9655172414,1.0,True
RZE_cand_10389,0.4,6.0,11.3,1.7,0.3,3.1,1.0,True,1.0,0.9032258065,1.0,True
RZE_cand_10390,0.4,6.0,11.3,1.7,0.3,3.3,1.0,True,1.0,0.8484848485,1.0,True
RZE_cand_10417,0.4,6.0,11.3,1.8,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_cand_10418,0.4,6.0,11.3,1.8,0.3,2.7,1.0,True,1.0,1.0,1.0,True
RZE_cand_10419,0.4,6.0,11.3,1.8,0.3,2.9,1.0,True,1.0,0.9655172414,1.0,True
RZE_cand_10420,0.4,6.0,11.3,1.8,0.3,3.1,1.0,True,1.0,0.9032258065,1.0,True
RZE_cand_10421,0.4,6.0,11.3,1.8,0.3,3.3,1.0,True,1.0,0.8484848485,1.0,True
RZE_cand_10422,0.4,6.0,11.3,1.8,0.3,3.5,1.0,True,1.0,0.8,1.0,True
RZE_cand_10448,0.4,6.0,11.3,1.9,0.3,2.5,1.0,True,1.0,1.0,1.0,True
