candidate_name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,SZZ_efficiency,LCJ_efficiency,KAT_efficiency
RZE_resampled_0,0.3200000000,6.0000000000,11.3000000000,1.4000000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.8960000000,1.0000000000
RZE_resampled_1,0.3500000000,6.0000000000,11.3000000000,1.4000000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9800000000,1.0000000000
RZE_resampled_2,0.3800000000,6.0000000000,11.3000000000,1.4000000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_3,0.2831401363,6.0000000000,11.3000000000,1.3978335440,0.3000000000,2.5226589516,1.0000000000,true,1.0000000000,0.8125867216,1.0000000000
RZE_resampled_4,0.3200000000,6.0000000000,11.3000000000,1.3800000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.8960000000,1.0000000000
RZE_resampled_5,0.3500000000,6.0000000000,11.3000000000,1.3500000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9800000000,1.0000000000
RZE_resampled_6,0.3800000000,6.0000000000,11.3000000000,1.3200000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_7,0.3000768763,6.0000000000,11.3000000000,1.3536206611,0.3000000000,2.4432360029,1.0000000000,true,1.0000000000,0.8597360761,1.0000000000
RZE_resampled_8,0.3200000000,6.0000000000,11.3000000000,1.4200000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.8960000000,1.0000000000
RZE_resampled_9,0.3500000000,6.0000000000,11.3000000000,1.4500000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9800000000,1.0000000000
RZE_resampled_10,0.3800000000,6.0000000000,11.3000000000,1.4800000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_11,0.3114748292,6.0000000000,11.3000000000,1.4335577326,0.3000000000,2.6082637494,1.0000000000,true,1.0000000000,0.8359291905,1.0000000000
RZE_resampled_12,0.3400000000,6.0000000000,11.3000000000,1.4000000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9520000000,1.0000000000
RZE_resampled_13,0.4000000000,6.0000000000,11.3000000000,1.4000000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_14,0.4600000000,6.0000000000,11.3000000000,1.4000000000,0.3000000000,2.5000000000,0.9782608696,false,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_15,0.2611946457,6.0000000000,11.3000000000,1.4270244692,0.3000000000,2.5694370146,1.0000000000,true,1.0000000000,0.7779253128,1.0000000000
RZE_resampled_16,0.3000000000,6.0000000000,11.3000000000,1.4400000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.8400000000,1.0000000000
RZE_resampled_17,0.3000000000,6.0000000000,11.3000000000,1.5000000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.8400000000,1.0000000000
