candidate_id,base_name,name,i1,i2,i3,i4,o1,o2,i1_base,i1_new,i1_delta_abs,i1_delta_pct,i1_grid_value,i1_grid_mode,i4_base,i4_new,i4_delta_abs,i4_delta_pct,i4_grid_value,i4_grid_mode,o2_base,o2_new,o2_delta_abs,o2_delta_pct,o2_grid_value,o2_grid_mode
1,RZE,RZE_cand_1,0.0,6.0,11.3,0.7,0.3,2.5,0.6,0.0,-0.6,-100.0,-1.5,absolute,2.7,0.7,-2.0,-74.07,-2.0,absolute,3.5,2.5,-1.0,-28.57,-1.0,absolute
2,RZE,RZE_cand_2,0.0,6.0,11.3,0.7,0.3,2.7,0.6,0.0,-0.6,-100.0,-1.5,absolute,2.7,0.7,-2.0,-74.07,-2.0,absolute,3.5,2.7,-0.8,-22.86,-0.8,absolute
3,RZE,RZE_cand_3,0.0,6.0,11.3,0.7,0.3,2.9,0.6,0.0,-0.6,-100.0,-1.5,absolute,2.7,0.7,-2.0,-74.07,-2.0,absolute,3.5,2.9,-0.6,-17.14,-0.6,absolute
4,RZE,RZE_cand_4,0.0,6.0,11.3,0.7,0.3,3.1,0.6,0.0,-0.6,-100.0,-1.5,absolute,2.7,0.7,-2.0,-74.07,-2.0,absolute,3.5,3.1,-0.4,-11.43,-0.4,absolute
5,RZE,RZE_cand_5,0.0,6.0,11.3,0.7,0.3,3.3,0.6,0.0,-0.6,-100.0,-1.5,absolute,2.7,0.7,-2.0,-74.07,-2.0,absolute,3.5,3.3,-0.2,-5.71,-0.2,absolute
6,RZE,RZE_cand_6,0.0,6.0,11.3,0.7,0.3,3.5,0.6,0.0,-0.6,-100.0,-1.5,absolute,2.7,0.7,-2.0,-74.07,-2.0,absolute,3.5,3.5,0.0,0.0,-0.0,absolute
7,RZE,RZE_cand_7,0.0,6.0,11.3,0.7,0.3,3.7,0.6,0.0,-0.6,-100.0,-1.5,absolute,2.7,0.7,-2.0,-74.07,-2.0,absolute,3.5,3.7,0.2,5.71,0.2,absolute
8,RZE,RZE_cand_8,0.0,6.0,11.3,0.7,0.3,3.9,0.6,0.0,-0.6,-100.0,-1.5,absolute,2.7,0.7,-2.0,-74.07,-2.0,absolute,3.5,3.9,0.4,11.43,0.4,absolute
9,RZE,RZE_cand_9,0.0,6.0,11.3,0.7,0.3,4.1,0.6,0.0,-0.6,-100.0,-1.5,absolute,2.7,0.7,-2.0,-74.07,-2.0,absolute,3.5,4.1,0.6,17.14,0.6,absolute
10,RZE,RZE_cand_10,0.0,6.0,11.3,0.7,0.3,4.3,0.6,0.0,-0.6,-100.0,-1.5,absolute,2.7,0.7,-2.0,-74.07,-2.0,absolute,3.5,4.3,0.8,22.86,0.8,absolute
11,RZE,RZE_cand_11,0.0,6.0,11.3,0.7,0.3,4.5,0.6,0.0,-0.6,-100.0,-1.5,absolute,2.7,0.7,-2.0,-74.07,-2.0,absolute,3.5,4.5,1.0,28.57,1.0,absolute
12,RZE,RZE_cand_12,0.0,6.0,11.3,0.7,0.3,4.7,0.6,0.0,-0.6,-100.0,-1.5,absolute,2.7,0.7,-2.0,-74.07,-2.0,absolute,3.5,4.7,1.2,34.29,1.2,absolute
13,RZE,RZE_cand_13,0.0,6.0,11.3,0.7,0.3,4.9,0.6,0.0,-0.6,-100.0,-1.5,absolute,2.7,0.7,-2.0,-74.07,-2.0,absolute,3.5,4.9,1.4,40.0,1.4,absolute
14,RZE,RZE_cand_14,0.0,6.0,11.3,0.7,0.3,5.1,0.6,0.0,-0.6,-100.0,-1.5,absolute,2.7,0.7,-2.0,-74.07,-2.0,absolute,3.5,5.1,1.6,45.71,1.6,absolute
15,RZE,RZE_cand_15,0.0,6.0,11.3,0.7,0.3,5.3,0.6,0.0,-0.6,-100.0,-1.5,absolute,2.7,0.7,-2.0,-74.07,-2.0,absolute,3.5,5.3,1.8,51.43,1.8,absolute
16,RZE,RZE_cand_16,0.0,6.0,11.3,0.7,0.3,5.5,0.6,0.0,-0.6,-100.0,-1.5,absolute,2.7,0.7,-2.0,-74.07,-2.0,absolute,3.5,5.5,2.0,57.14,2.0,absolute
17,RZE,RZE_cand_17,0.0,6.0,11.3,0.7,0.3,5.7,0.6,0.0,-0.6,-100.0,-1.5,absolute,2.7,0.7,-2.0,-74.07,-2.0,absolute,3.5,5.7,2.2,62.86,2.2,absolute
18,RZE,RZE_cand_18,0.0,6.0,11.3,0.7,0.3,5.9,0.6,0.0,-0.6,-100.0,-1.5,absolute,2.7,0.7,-2.0,-74.07,-2.0,absolute,3.5,5.9,2.4,68.57,2.4,absolute
19,RZE,RZE_cand_19,0.0,6.0,11.3,0.7,0.3,6.1,0.6,0.0,-0.6,-100.0,-1.5,absolute,2.7,0.7,-2.0,-74.07,-2.0,absolute,3.5,6.1,2.6,74.29,2.6,absolute
