candidate_name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,SZZ_efficiency,LCJ_efficiency,KAT_efficiency
RZE_cand_1,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,2.5000000000,1.0000000000,true,0.8385954559,0.6672550750,1.0000000000
RZE_cand_2,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,2.7000000000,1.0000000000,true,0.8036572721,0.6445012788,1.0000000000
RZE_cand_3,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,2.9000000000,1.0000000000,true,0.7715138901,0.6232481451,1.0000000000
RZE_cand_4,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,3.1000000000,1.0000000000,true,0.7418428609,0.6033519553,1.0000000000
RZE_cand_5,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,3.3000000000,1.0000000000,true,0.7143695015,0.5846867749,1.0000000000
RZE_cand_6,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,3.5000000000,1.0000000000,true,0.6888583663,0.5671417854,1.0000000000
RZE_cand_7,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,3.7000000000,1.0000000000,true,0.6651064826,0.5506190823,1.0000000000
RZE_cand_8,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,3.9000000000,1.0000000000,true,0.6429379383,0.5350318471,1.0000000000
RZE_cand_9,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,4.1000000000,1.0000000000,true,0.6146341463,0.5121951220,1.0000000000
RZE_cand_10,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,4.3000000000,1.0000000000,true,0.5879699248,0.4899749373,1.0000000000
RZE_cand_11,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,4.5000000000,1.0000000000,true,0.5677852349,0.4731543624,1.0000000000
RZE_cand_12,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,4.7000000000,1.0000000000,true,0.5515151515,0.4595959596,1.0000000000
RZE_cand_13,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,4.9000000000,1.0000000000,true,0.5381215470,0.4484346225,1.0000000000
RZE_cand_14,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,5.1000000000,1.0000000000,true,0.5269035533,0.4390862944,1.0000000000
RZE_cand_15,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,5.3000000000,1.0000000000,true,0.5173708920,0.4311424100,1.0000000000
