candidate_name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,SZZ_efficiency,LCJ_efficiency,KAT_efficiency,boundary_flag
RZE_resampled_14,0.46,6.0,11.3,1.4,0.3,2.5,0.9782608696,False,1.0,1.0,1.0,True
RZE_resampled_34,0.46,6.0,11.3,1.6,0.3,2.5,0.9782608696,False,1.0,1.0,1.0,True
RZE_resampled_58,0.46,6.0,11.3,1.9,0.3,2.5,0.9782608696,False,1.0,1.0,1.0,True
RZE_resampled_127,0.4425225004,6.0,11.3,2.363437277,0.3,2.5743787729,1.0,True,1.0,1.0,1.0,True
RZE_resampled_198,0.46,6.0,11.3,2.5,0.3,2.7,0.9913043478,False,1.0,1.0,1.0,True
RZE_resampled_218,0.46,6.0,11.3,2.5,0.3,2.9,1.0,True,1.0,1.0,1.0,True
RZE_resampled_374,0.46,6.0,11.3,3.1,0.3,2.5,0.9782608696,False,1.0,1.0,1.0,True
RZE_resampled_398,0.46,6.0,11.3,3.1,0.3,2.7,0.9913043478,False,1.0,1.0,1.0,True
RZE_resampled_418,0.46,6.0,11.3,3.1,0.3,2.9,1.0,True,1.0,1.0,1.0,True
RZE_resampled_425,0.45,6.0,11.3,1.3,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_resampled_426,0.48,6.0,11.3,1.3,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_resampled_428,0.42,6.0,11.3,1.32,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_resampled_429,0.45,6.0,11.3,1.35,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_resampled_430,0.48,6.0,11.3,1.38,0.3,2.5,0.9510869565,False,1.0,1.0,1.0,True
RZE_resampled_446,0.48,6.0,11.3,1.3,0.3,2.7,1.0,True,1.0,1.0,1.0,True
RZE_resampled_447,0.4928076966,6.0,11.3,1.3549753427,0.3,2.7429524809,0.9979149363,False,1.0,1.0,1.0,True
RZE_resampled_449,0.45,6.0,11.3,1.35,0.3,2.7,1.0,True,1.0,1.0,1.0,True
RZE_resampled_450,0.48,6.0,11.3,1.38,0.3,2.7,0.968115942,False,1.0,1.0,1.0,True
RZE_resampled_453,0.5,6.0,11.3,1.3,0.3,2.7,1.0,True,1.0,1.0,1.0,True
RZE_resampled_454,0.56,6.0,11.3,1.3,0.3,2.7,1.0,True,1.0,1.0,1.0,True
RZE_resampled_464,0.42,6.0,11.3,1.4,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_resampled_465,0.45,6.0,11.3,1.4,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_resampled_466,0.48,6.0,11.3,1.4,0.3,2.5,0.9375,False,1.0,1.0,1.0,True
RZE_resampled_475,0.4208429082,6.0,11.3,1.4382917079,0.3,2.5061094387,1.0,True,1.0,1.0,1.0,True
RZE_resampled_476,0.42,6.0,11.3,1.38,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_resampled_478,0.48,6.0,11.3,1.32,0.3,2.5,0.9943181818,False,1.0,1.0,1.0,True
RZE_resampled_479,0.4234819605,6.0,11.3,1.4054635207,0.3,2.4657961468,1.0,True,1.0,1.0,1.0,True
RZE_resampled_485,0.45,6.0,11.3,1.4,0.3,2.7,1.0,True,1.0,1.0,1.0,True
RZE_resampled_486,0.48,6.0,11.3,1.4,0.3,2.7,0.9578181818,False,1.0,1.0,1.0,True
