name,i1,i2,i3,i4,o1,o2
RZE_cand_0,0.36,6,11.3,1.14,0.3,2.1
RZE_cand_1,0.36,6,11.3,1.14,0.3,2.311
RZE_cand_2,0.36,6,11.3,1.14,0.3,2.522
RZE_cand_3,0.36,6,11.3,1.14,0.3,2.7329999999999997
RZE_cand_4,0.36,6,11.3,1.14,0.3,2.9439999999999995
RZE_cand_5,0.36,6,11.3,1.14,0.3,3.1549999999999994
RZE_cand_6,0.36,6,11.3,1.14,0.3,3.365999999999999
RZE_cand_7,0.36,6,11.3,1.14,0.3,3.576999999999999
RZE_cand_8,0.36,6,11.3,1.14,0.3,3.787999999999999
RZE_cand_9,0.36,6,11.3,1.14,0.3,3.9989999999999988
RZE_cand_10,0.36,6,11.3,1.14,0.3,4.209999999999999
RZE_cand_11,0.36,6,11.3,1.14,0.3,4.4209999999999985
RZE_cand_12,0.36,6,11.3,1.14,0.3,4.631999999999998
RZE_cand_13,0.36,6,11.3,1.14,0.3,4.842999999999998
RZE_cand_14,0.36,6,11.3,1.14,0.3,5.0539999999999985
RZE_cand_15,0.36,6,11.3,1.14,0.3,5.264999999999998
RZE_cand_16,0.36,6,11.3,1.14,0.3,5.475999999999997
RZE_cand_17,0.36,6,11.3,1.14,0.3,5.686999999999998
RZE_cand_18,0.36,6,11.3,1.14,0.3,5.897999999999998
RZE_cand_19,0.36,6,11.3,1.14,0.3,6.108999999999996
RZE_cand_20,0.36,6,11.3,1.14,0.3,6.319999999999997
RZE_cand_21,0.36,6,11.3,1.14,0.3,6.530999999999997
RZE_cand_22,0.36,6,11.3,1.14,0.3,6.741999999999997
RZE_cand_23,0.36,6,11.3,1.14,0.3,6.952999999999996
RZE_cand_24,0.36,6,11.3,1.14,0.3,7.163999999999996
RZE_cand_25,0.36,6,11.3,1.14,0.3,7.3749999999999964
RZE_cand_26,0.36,6,11.3,1.14,0.3,7.585999999999997
RZE_cand_27,0.36,6,11.3,1.14,0.3,7.796999999999995
RZE_cand_28,0.36,6,11.3,1.14,0.3,8.007999999999996
RZE_cand_29,0.36,6,11.3,1.14,0.3,8.218999999999996
RZE_cand_30,0.36,6,11.3,1.14,0.3,8.429999999999996
RZE_cand_31,0.36,6,11.3,1.14,0.3,8.640999999999995
RZE_cand_32,0.36,6,11.3,1.14,0.3,8.851999999999995
RZE_cand_33,0.36,6,11.3,1.14,0.3,9.062999999999995
RZE_cand_34,0.36,6,11.3,1.14,0.3,9.273999999999996
RZE_cand_35,0.36,6,11.3,1.14,0.3,9.484999999999994
RZE_cand_36,0.36,6,11.3,1.14,0.3,9.695999999999994
RZE_cand_37,0.36,6,11.3,1.14,0.3,9.906999999999995
RZE_cand_38,0.36,6,11.3,1.14,0.3,10.117999999999993
RZE_cand_39,0.36,6,11.3,1.14,0.3,10.328999999999994
RZE_cand_40,0.36,6,11.3,1.14,0.3,10.539999999999994
RZE_cand_41,0.36,6,11.3,1.14,0.3,10.750999999999994
RZE_cand_42,0.36,6,11.3,1.14,0.3,10.961999999999994
RZE_cand_43,0.36,6,11.3,1.14,0.3,11.172999999999993
RZE_cand_44,0.36,6,11.3,1.14,0.3,11.383999999999993
RZE_cand_45,0.36,6,11.3,1.14,0.3,11.594999999999994
RZE_cand_46,0.36,6,11.3,1.14,0.3,11.805999999999992
RZE_cand_47,0.36,6,11.3,1.14,0.3,12.016999999999992
RZE_cand_48,0.36,6,11.3,1.14,0.3,12.227999999999993
RZE_cand_49,0.36,6,11.3,1.14,0.3,12.438999999999993
RZE_cand_50,0.36,6,11.3,1.14,0.3,12.649999999999993
RZE_cand_51,0.36,6,11.3,1.14,0.3,12.860999999999992
RZE_cand_52,0.36,6,11.3,1.14,0.3,13.071999999999992
RZE_cand_53,0.36,6,11.3,1.14,0.3,13.282999999999992
RZE_cand_54,0.36,6,11.3,1.14,0.3,13.493999999999991
RZE_cand_55,0.36,6,11.3,1.14,0.3,13.704999999999991
RZE_cand_56,0.36,6,11.3,1.14,0.3,13.915999999999991
RZE_cand_57,0.36,6,11.3,1.14,0.3,14.126999999999992
RZE_cand_58,0.36,6,11.3,1.14,0.3,14.337999999999992
RZE_cand_59,0.36,6,11.3,1.14,0.3,14.54899999999999
RZE_cand_60,0.36,6,11.3,1.14,0.3,14.759999999999991
RZE_cand_61,0.36,6,11.3,1.14,0.3,14.970999999999991
RZE_cand_62,0.36,6,11.3,1.14,0.3,15.18199999999999
RZE_cand_63,0.36,6,11.3,1.14,0.3,15.39299999999999
RZE_cand_64,0.36,6,11.3,1.14,0.3,15.60399999999999
RZE_cand_65,0.36,6,11.3,1.14,0.3,15.81499999999999
RZE_cand_66,0.36,6,11.3,1.14,0.3,16.025999999999993
RZE_cand_67,0.36,6,11.3,1.14,0.3,16.23699999999999
RZE_cand_68,0.36,6,11.3,1.14,0.3,16.44799999999999
RZE_cand_69,0.36,6,11.3,1.14,0.3,16.658999999999992
RZE_cand_70,0.36,6,11.3,1.14,0.3,16.86999999999999
RZE_cand_71,0.36,6,11.3,1.14,0.3,17.08099999999999
RZE_cand_72,0.36,6,11.3,1.14,0.3,17.29199999999999
RZE_cand_73,0.36,6,11.3,1.14,0.3,17.50299999999999
RZE_cand_74,0.36,6,11.3,1.14,0.3,17.71399999999999
RZE_cand_75,0.36,6,11.3,1.14,0.3,17.92499999999999
RZE_cand_76,0.36,6,11.3,1.14,0.3,18.13599999999999
RZE_cand_77,0.36,6,11.3,1.14,0.3,18.34699999999999
RZE_cand_78,0.36,6,11.3,1.14,0.3,18.55799999999999
RZE_cand_79,0.36,6,11.3,1.14,0.3,18.76899999999999
RZE_cand_80,0.36,6,11.3,1.14,0.3,18.97999999999999
RZE_cand_81,0.36,6,11.3,1.14,0.3,19.19099999999999
RZE_cand_82,0.36,6,11.3,1.14,0.3,19.40199999999999
RZE_cand_83,0.36,6,11.3,1.14,0.3,19.61299999999999
RZE_cand_84,0.36,6,11.3,1.14,0.3,19.82399999999999
RZE_cand_85,0.36,6,11.3,1.14,0.3,20.03499999999999
RZE_cand_86,0.36,6,11.3,1.14,0.3,20.245999999999988
RZE_cand_87,0.36,6,11.3,1.14,0.3,20.45699999999999
RZE_cand_88,0.36,6,11.3,1.14,0.3,20.66799999999999
RZE_cand_89,0.36,6,11.3,1.14,0.3,20.878999999999987
RZE_cand_90,0.36,6,11.3,1.14,0.3,21.08999999999999
RZE_cand_91,0.36,6,11.3,1.14,0.3,21.300999999999988
RZE_cand_92,0.36,6,11.3,1.14,0.3,21.511999999999986
RZE_cand_93,0.36,6,11.3,1.14,0.3,21.72299999999999
RZE_cand_94,0.36,6,11.3,1.14,0.3,21.933999999999987
RZE_cand_95,0.36,6,11.3,1.14,0.3,22.14499999999999
RZE_cand_96,0.36,6,11.3,1.14,0.3,22.355999999999987
RZE_cand_97,0.36,6,11.3,1.14,0.3,22.566999999999986
RZE_cand_98,0.36,6,11.3,1.14,0.3,22.777999999999988
RZE_cand_99,0.36,6,11.3,1.14,0.3,22.988999999999987
RZE_cand_100,0.36,6,11.3,1.14,0.3,23.19999999999999
RZE_cand_101,0.36,6,11.3,1.14,0.3,23.410999999999987
RZE_cand_102,0.36,6,11.3,1.14,0.3,23.621999999999986
RZE_cand_103,0.36,6,11.3,1.14,0.3,23.832999999999988
RZE_cand_104,0.36,6,11.3,1.14,0.3,24.043999999999986
RZE_cand_105,0.36,6,11.3,1.14,0.3,24.254999999999985
RZE_cand_106,0.36,6,11.3,1.14,0.3,24.465999999999987
RZE_cand_107,0.36,6,11.3,1.14,0.3,24.676999999999985
RZE_cand_108,0.36,6,11.3,1.14,0.3,24.887999999999984
RZE_cand_109,0.36,6,11.3,1.14,0.3,25.098999999999986
RZE_cand_110,0.36,6,11.3,1.14,0.3,25.309999999999985
RZE_cand_111,0.36,6,11.3,1.14,0.3,25.520999999999987
RZE_cand_112,0.36,6,11.3,1.2449999999999999,0.3,2.1
RZE_cand_113,0.36,6,11.3,1.2449999999999999,0.3,2.311
RZE_cand_114,0.36,6,11.3,1.2449999999999999,0.3,2.522
RZE_cand_115,0.36,6,11.3,1.2449999999999999,0.3,2.7329999999999997
RZE_cand_116,0.36,6,11.3,1.2449999999999999,0.3,2.9439999999999995
RZE_cand_117,0.36,6,11.3,1.2449999999999999,0.3,3.1549999999999994
RZE_cand_118,0.36,6,11.3,1.2449999999999999,0.3,3.365999999999999
RZE_cand_119,0.36,6,11.3,1.2449999999999999,0.3,3.576999999999999
RZE_cand_120,0.36,6,11.3,1.2449999999999999,0.3,3.787999999999999
RZE_cand_121,0.36,6,11.3,1.2449999999999999,0.3,3.9989999999999988
RZE_cand_122,0.36,6,11.3,1.2449999999999999,0.3,4.209999999999999
RZE_cand_123,0.36,6,11.3,1.2449999999999999,0.3,4.4209999999999985
RZE_cand_124,0.36,6,11.3,1.2449999999999999,0.3,4.631999999999998
RZE_cand_125,0.36,6,11.3,1.2449999999999999,0.3,4.842999999999998
RZE_cand_126,0.36,6,11.3,1.2449999999999999,0.3,5.0539999999999985
RZE_cand_127,0.36,6,11.3,1.2449999999999999,0.3,5.264999999999998
RZE_cand_128,0.36,6,11.3,1.2449999999999999,0.3,5.475999999999997
RZE_cand_129,0.36,6,11.3,1.2449999999999999,0.3,5.686999999999998
RZE_cand_130,0.36,6,11.3,1.2449999999999999,0.3,5.897999999999998
RZE_cand_131,0.36,6,11.3,1.2449999999999999,0.3,6.108999999999996
RZE_cand_132,0.36,6,11.3,1.2449999999999999,0.3,6.319999999999997
RZE_cand_133,0.36,6,11.3,1.2449999999999999,0.3,6.530999999999997
RZE_cand_134,0.36,6,11.3,1.2449999999999999,0.3,6.741999999999997
RZE_cand_135,0.36,6,11.3,1.2449999999999999,0.3,6.952999999999996
RZE_cand_136,0.36,6,11.3,1.2449999999999999,0.3,7.163999999999996
RZE_cand_137,0.36,6,11.3,1.2449999999999999,0.3,7.3749999999999964
RZE_cand_138,0.36,6,11.3,1.2449999999999999,0.3,7.585999999999997
RZE_cand_139,0.36,6,11.3,1.2449999999999999,0.3,7.796999999999995
RZE_cand_140,0.36,6,11.3,1.2449999999999999,0.3,8.007999999999996
RZE_cand_141,0.36,6,11.3,1.2449999999999999,0.3,8.218999999999996
RZE_cand_142,0.36,6,11.3,1.2449999999999999,0.3,8.429999999999996
RZE_cand_143,0.36,6,11.3,1.2449999999999999,0.3,8.640999999999995
RZE_cand_144,0.36,6,11.3,1.2449999999999999,0.3,8.851999999999995
RZE_cand_145,0.36,6,11.3,1.2449999999999999,0.3,9.062999999999995
RZE_cand_146,0.36,6,11.3,1.2449999999999999,0.3,9.273999999999996
RZE_cand_147,0.36,6,11.3,1.2449999999999999,0.3,9.484999999999994
RZE_cand_148,0.36,6,11.3,1.2449999999999999,0.3,9.695999999999994
RZE_cand_149,0.36,6,11.3,1.2449999999999999,0.3,9.906999999999995
RZE_cand_150,0.36,6,11.3,1.2449999999999999,0.3,10.117999999999993
RZE_cand_151,0.36,6,11.3,1.2449999999999999,0.3,10.328999999999994
RZE_cand_152,0.36,6,11.3,1.2449999999999999,0.3,10.539999999999994
RZE_cand_153,0.36,6,11.3,1.2449999999999999,0.3,10.750999999999994
RZE_cand_154,0.36,6,11.3,1.2449999999999999,0.3,10.961999999999994
RZE_cand_155,0.36,6,11.3,1.2449999999999999,0.3,11.172999999999993
RZE_cand_156,0.36,6,11.3,1.2449999999999999,0.3,11.383999999999993
RZE_cand_157,0.36,6,11.3,1.2449999999999999,0.3,11.594999999999994
RZE_cand_158,0.36,6,11.3,1.2449999999999999,0.3,11.805999999999992
RZE_cand_159,0.36,6,11.3,1.2449999999999999,0.3,12.016999999999992
RZE_cand_160,0.36,6,11.3,1.2449999999999999,0.3,12.227999999999993
RZE_cand_161,0.36,6,11.3,1.2449999999999999,0.3,12.438999999999993
RZE_cand_162,0.36,6,11.3,1.2449999999999999,0.3,12.649999999999993
RZE_cand_163,0.36,6,11.3,1.2449999999999999,0.3,12.860999999999992
RZE_cand_164,0.36,6,11.3,1.2449999999999999,0.3,13.071999999999992
RZE_cand_165,0.36,6,11.3,1.2449999999999999,0.3,13.282999999999992
RZE_cand_166,0.36,6,11.3,1.2449999999999999,0.3,13.493999999999991
RZE_cand_167,0.36,6,11.3,1.2449999999999999,0.3,13.704999999999991
RZE_cand_168,0.36,6,11.3,1.2449999999999999,0.3,13.915999999999991
RZE_cand_169,0.36,6,11.3,1.2449999999999999,0.3,14.126999999999992
RZE_cand_170,0.36,6,11.3,1.2449999999999999,0.3,14.337999999999992
RZE_cand_171,0.36,6,11.3,1.2449999999999999,0.3,14.54899999999999
RZE_cand_172,0.36,6,11.3,1.2449999999999999,0.3,14.759999999999991
RZE_cand_173,0.36,6,11.3,1.2449999999999999,0.3,14.970999999999991
RZE_cand_174,0.36,6,11.3,1.2449999999999999,0.3,15.18199999999999
RZE_cand_175,0.36,6,11.3,1.2449999999999999,0.3,15.39299999999999
RZE_cand_176,0.36,6,11.3,1.2449999999999999,0.3,15.60399999999999
RZE_cand_177,0.36,6,11.3,1.2449999999999999,0.3,15.81499999999999
RZE_cand_178,0.36,6,11.3,1.2449999999999999,0.3,16.025999999999993
RZE_cand_179,0.36,6,11.3,1.2449999999999999,0.3,16.23699999999999
RZE_cand_180,0.36,6,11.3,1.2449999999999999,0.3,16.44799999999999
RZE_cand_181,0.36,6,11.3,1.2449999999999999,0.3,16.658999999999992
RZE_cand_182,0.36,6,11.3,1.2449999999999999,0.3,16.86999999999999
RZE_cand_183,0.36,6,11.3,1.2449999999999999,0.3,17.08099999999999
RZE_cand_184,0.36,6,11.3,1.2449999999999999,0.3,17.29199999999999
RZE_cand_185,0.36,6,11.3,1.2449999999999999,0.3,17.50299999999999
RZE_cand_186,0.36,6,11.3,1.2449999999999999,0.3,17.71399999999999
RZE_cand_187,0.36,6,11.3,1.2449999999999999,0.3,17.92499999999999
RZE_cand_188,0.36,6,11.3,1.2449999999999999,0.3,18.13599999999999
