name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,POZ_efficiency
RZE_cand_1894_cand_0,0.7332000000000001,6,11.3,2.8,0.3,2.6012,0.4901293397,false,1.0000000000
RZE_cand_1894_cand_1,0.7332000000000001,6,11.3,2.8,0.3,2.9252,0.4901293397,false,1.0000000000
RZE_cand_1894_cand_2,0.7332000000000001,6,11.3,2.8,0.3,3.2491999999999996,0.4901293397,false,1.0000000000
RZE_cand_1894_cand_3,0.7332000000000001,6,11.3,2.8,0.3,3.5731999999999995,0.4901293397,false,1.0000000000
RZE_cand_1894_cand_4,0.7332000000000001,6,11.3,2.8,0.3,3.8971999999999993,0.5109406752,false,1.0000000000
RZE_cand_1894_cand_5,0.7332000000000001,6,11.3,2.8,0.3,4.2212,0.5534185513,false,1.0000000000
RZE_cand_1894_cand_6,0.7332000000000001,6,11.3,2.8,0.3,4.5451999999999995,0.5958964274,false,1.0000000000
RZE_cand_1894_cand_7,0.7332000000000001,6,11.3,2.8,0.3,4.869199999999999,0.6383743035,false,1.0000000000
RZE_cand_1894_cand_8,0.7332000000000001,6,11.3,2.8,0.3,5.193199999999999,0.6808521796,false,1.0000000000
RZE_cand_1894_cand_9,0.7332000000000001,6,11.3,2.8,0.3,5.517199999999999,0.7233300557,false,1.0000000000
RZE_cand_1894_cand_10,0.7332000000000001,6,11.3,2.8,0.3,5.841199999999999,0.7658079318,false,1.0000000000
RZE_cand_1894_cand_11,0.7332000000000001,6,11.3,2.8,0.3,6.165199999999999,0.8082858079,false,1.0000000000
RZE_cand_1894_cand_12,0.7332000000000001,6,11.3,2.8,0.3,6.4891999999999985,0.8507636840,false,1.0000000000
RZE_cand_1894_cand_13,0.7332000000000001,6,11.3,2.8,0.3,6.813199999999998,0.8932415601,false,1.0000000000
RZE_cand_1894_cand_14,0.7332000000000001,6,11.3,2.8,0.3,7.137199999999998,0.9357194363,false,1.0000000000
RZE_cand_1894_cand_15,0.7332000000000001,6,11.3,2.8,0.3,7.461199999999998,0.9781973124,false,1.0000000000
RZE_cand_1894_cand_16,0.7332000000000001,6,11.3,2.8,0.3,7.785199999999998,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_17,0.7332000000000001,6,11.3,2.8,0.3,8.109199999999998,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_18,0.7332000000000001,6,11.3,2.8,0.3,8.433199999999998,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_19,0.7332000000000001,6,11.3,2.8,0.3,8.757199999999997,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_20,0.7332000000000001,6,11.3,2.8,0.3,9.081199999999997,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_21,0.7332000000000001,6,11.3,2.8,0.3,9.405199999999997,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_22,0.7332000000000001,6,11.3,2.8,0.3,9.729199999999997,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_23,0.7332000000000001,6,11.3,2.8,0.3,10.053199999999997,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_24,0.7332000000000001,6,11.3,2.8,0.3,10.377199999999997,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_25,0.7332000000000001,6,11.3,2.8,0.3,10.701199999999996,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_26,0.7332000000000001,6,11.3,2.8,0.3,11.025199999999996,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_27,0.7332000000000001,6,11.3,2.8,0.3,11.349199999999996,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_28,0.7332000000000001,6,11.3,2.8,0.3,11.673199999999996,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_29,0.7332000000000001,6,11.3,2.8,0.3,11.997199999999996,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_30,0.7332000000000001,6,11.3,2.8,0.3,12.321199999999996,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_31,0.7332000000000001,6,11.3,2.8,0.3,12.645199999999996,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_32,0.7332000000000001,6,11.3,2.8,0.3,12.969199999999995,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_33,0.7332000000000001,6,11.3,2.8,0.3,13.293199999999995,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_34,0.7332000000000001,6,11.3,2.8,0.3,13.617199999999995,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_35,0.7332000000000001,6,11.3,2.8,0.3,13.941199999999995,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_36,0.7332000000000001,6,11.3,2.8,0.3,14.265199999999995,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_37,0.7332000000000001,6,11.3,2.8,0.3,14.589199999999995,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_38,0.7332000000000001,6,11.3,2.8,0.3,14.913199999999994,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_39,0.7332000000000001,6,11.3,2.8,0.3,15.237199999999994,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_40,0.7332000000000001,6,11.3,2.8,0.3,15.561199999999994,1.0000000000,true,1.0000000000
