name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,WAW_efficiency,KRK_efficiency,WRO_efficiency,GDN_efficiency,BZG_efficiency,min_distance_to_false
RZE_cand_1894_cand_8252_cand_1665,0.42,6,11.3,0.84,0.3,8.043639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.15800000000000003
RZE_cand_1894_cand_8252_cand_4866,0.63,6,11.3,4.632000000000001,0.3,10.637639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.20999999999999996
RZE_cand_1894_cand_8252_cand_4738,0.63,6,11.3,4.316000000000001,0.3,10.637639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.20999999999999996
RZE_cand_1894_cand_8252_cand_4802,0.63,6,11.3,4.474000000000001,0.3,10.637639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.20999999999999996
RZE_cand_1894_cand_8252_cand_4162,0.63,6,11.3,2.894,0.3,10.637639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.20999999999999996
RZE_cand_1894_cand_8252_cand_3394,0.63,6,11.3,0.998,0.3,10.637639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.20999999999999996
RZE_cand_1894_cand_8252_cand_4034,0.63,6,11.3,2.5780000000000003,0.3,10.637639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.20999999999999996
RZE_cand_1894_cand_8252_cand_4674,0.63,6,11.3,4.158,0.3,10.637639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.20999999999999996
RZE_cand_1894_cand_8252_cand_4546,0.63,6,11.3,3.842000000000001,0.3,10.637639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.20999999999999996
RZE_cand_1894_cand_8252_cand_4418,0.63,6,11.3,3.526,0.3,10.637639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.20999999999999996
RZE_cand_1894_cand_8252_cand_4290,0.63,6,11.3,3.2100000000000004,0.3,10.637639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.20999999999999996
RZE_cand_1894_cand_8252_cand_4354,0.63,6,11.3,3.3680000000000003,0.3,10.637639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.20999999999999996
RZE_cand_1894_cand_8252_cand_3330,0.63,6,11.3,0.84,0.3,10.637639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.20999999999999996
RZE_cand_1894_cand_8252_cand_4930,0.63,6,11.3,4.790000000000001,0.3,10.637639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.20999999999999996
RZE_cand_1894_cand_8252_cand_4482,0.63,6,11.3,3.684,0.3,10.637639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.20999999999999996
RZE_cand_1894_cand_8252_cand_4226,0.63,6,11.3,3.0520000000000005,0.3,10.637639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.20999999999999996
RZE_cand_1894_cand_8252_cand_3970,0.63,6,11.3,2.4200000000000004,0.3,10.637639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.20999999999999996
RZE_cand_1894_cand_8252_cand_3842,0.63,6,11.3,2.104,0.3,10.637639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.20999999999999996
RZE_cand_1894_cand_8252_cand_3778,0.63,6,11.3,1.946,0.3,10.637639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.20999999999999996
RZE_cand_1894_cand_8252_cand_3906,0.63,6,11.3,2.262,0.3,10.637639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.20999999999999996
RZE_cand_1894_cand_8252_cand_3522,0.63,6,11.3,1.314,0.3,10.637639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.20999999999999996
RZE_cand_1894_cand_8252_cand_3650,0.63,6,11.3,1.63,0.3,10.637639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.20999999999999996
RZE_cand_1894_cand_8252_cand_3714,0.63,6,11.3,1.7880000000000005,0.3,10.637639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.20999999999999996
RZE_cand_1894_cand_8252_cand_3586,0.63,6,11.3,1.472,0.3,10.637639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.20999999999999996
RZE_cand_1894_cand_8252_cand_4098,0.63,6,11.3,2.736,0.3,10.637639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.20999999999999996
RZE_cand_1894_cand_8252_cand_3458,0.63,6,11.3,1.156,0.3,10.637639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.20999999999999996
RZE_cand_1894_cand_8252_cand_4610,0.63,6,11.3,4.000000000000001,0.3,10.637639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.20999999999999996
RZE_cand_1894_cand_8252_cand_769,0.21,6,11.3,2.736,0.3,8.043639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
RZE_cand_1894_cand_8252_cand_0,0.21,6,11.3,0.84,0.3,5.449639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
RZE_cand_1894_cand_8252_cand_832,0.21,6,11.3,2.894,0.3,5.449639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
RZE_cand_1894_cand_8252_cand_896,0.21,6,11.3,3.0520000000000005,0.3,5.449639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
RZE_cand_1894_cand_8252_cand_833,0.21,6,11.3,2.894,0.3,8.043639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
RZE_cand_1894_cand_8252_cand_961,0.21,6,11.3,3.2100000000000004,0.3,8.043639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
RZE_cand_1894_cand_8252_cand_1024,0.21,6,11.3,3.3680000000000003,0.3,5.449639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
RZE_cand_1894_cand_8252_cand_1025,0.21,6,11.3,3.3680000000000003,0.3,8.043639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
RZE_cand_1894_cand_8252_cand_1089,0.21,6,11.3,3.526,0.3,8.043639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
RZE_cand_1894_cand_8252_cand_385,0.21,6,11.3,1.7880000000000005,0.3,8.043639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
RZE_cand_1894_cand_8252_cand_897,0.21,6,11.3,3.0520000000000005,0.3,8.043639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
RZE_cand_1894_cand_8252_cand_960,0.21,6,11.3,3.2100000000000004,0.3,5.449639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
RZE_cand_1894_cand_8252_cand_1152,0.21,6,11.3,3.684,0.3,5.449639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
RZE_cand_1894_cand_8252_cand_1217,0.21,6,11.3,3.842000000000001,0.3,8.043639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
RZE_cand_1894_cand_8252_cand_1280,0.21,6,11.3,4.000000000000001,0.3,5.449639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
RZE_cand_1894_cand_8252_cand_1344,0.21,6,11.3,4.158,0.3,5.449639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
RZE_cand_1894_cand_8252_cand_1281,0.21,6,11.3,4.000000000000001,0.3,8.043639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
RZE_cand_1894_cand_8252_cand_65,0.21,6,11.3,0.998,0.3,8.043639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
RZE_cand_1894_cand_8252_cand_1153,0.21,6,11.3,3.684,0.3,8.043639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
RZE_cand_1894_cand_8252_cand_1088,0.21,6,11.3,3.526,0.3,5.449639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
RZE_cand_1894_cand_8252_cand_1216,0.21,6,11.3,3.842000000000001,0.3,5.449639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
RZE_cand_1894_cand_8252_cand_1601,0.21,6,11.3,4.790000000000001,0.3,8.043639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
RZE_cand_1894_cand_8252_cand_1536,0.21,6,11.3,4.632000000000001,0.3,5.449639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
RZE_cand_1894_cand_8252_cand_1345,0.21,6,11.3,4.158,0.3,8.043639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
RZE_cand_1894_cand_8252_cand_1472,0.21,6,11.3,4.474000000000001,0.3,5.449639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
RZE_cand_1894_cand_8252_cand_1473,0.21,6,11.3,4.474000000000001,0.3,8.043639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
RZE_cand_1894_cand_8252_cand_192,0.21,6,11.3,1.314,0.3,5.449639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
RZE_cand_1894_cand_8252_cand_576,0.21,6,11.3,2.262,0.3,5.449639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
RZE_cand_1894_cand_8252_cand_577,0.21,6,11.3,2.262,0.3,8.043639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
RZE_cand_1894_cand_8252_cand_704,0.21,6,11.3,2.5780000000000003,0.3,5.449639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
RZE_cand_1894_cand_8252_cand_448,0.21,6,11.3,1.946,0.3,5.449639999999998,1.0,True,1.0,1.0,1.0,1.0,1.0,0.21
