name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,KAT_efficiency
RZE__to__KAT_cand_0,-0.4800000000000001,6,11.3,-0.44999999999999973,0.3,-2.83,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_1,-0.4800000000000001,6,11.3,-0.44999999999999973,0.3,-0.7199999999999998,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_2,-0.4800000000000001,6,11.3,-0.44999999999999973,0.3,1.3900000000000006,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_3,-0.4800000000000001,6,11.3,-0.44999999999999973,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_4,-0.4800000000000001,6,11.3,-0.44999999999999973,0.3,3.500000000000001,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_5,-0.4800000000000001,6,11.3,-0.44999999999999973,0.3,5.610000000000001,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_6,-0.4800000000000001,6,11.3,-0.44999999999999973,0.3,7.720000000000001,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_7,-0.4800000000000001,6,11.3,-0.44999999999999973,0.3,9.830000000000002,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_8,-0.4800000000000001,6,11.3,-0.44999999999999973,0.3,11.940000000000003,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_9,-0.4800000000000001,6,11.3,-0.44999999999999973,0.3,14.050000000000002,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_10,-0.4800000000000001,6,11.3,-0.44999999999999973,0.3,16.160000000000004,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_11,-0.4800000000000001,6,11.3,-0.44999999999999973,0.3,18.270000000000003,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_12,-0.4800000000000001,6,11.3,-0.44999999999999973,0.3,20.380000000000003,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_13,-0.4800000000000001,6,11.3,-0.44999999999999973,0.3,21.1,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_14,-0.4800000000000001,6,11.3,-0.44999999999999973,0.3,22.490000000000002,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_15,-0.4800000000000001,6,11.3,-0.44999999999999973,0.3,24.6,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_16,-0.4800000000000001,6,11.3,-0.44999999999999973,0.3,26.710000000000008,1.0000000000,true,1.0000000000
