name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,LCJ_efficiency
RZE__to__LCJ_cand_0,0.3,6,11.3,1.5300000000000002,0.3,2.24,1.0000000000,true,0.9375000000
RZE__to__LCJ_cand_1,0.3,6,11.3,1.5300000000000002,0.3,2.66,1.0000000000,true,0.7894736842
RZE__to__LCJ_cand_2,0.3,6,11.3,1.5300000000000002,0.3,3.08,1.0000000000,true,0.6818181818
RZE__to__LCJ_cand_3,0.3,6,11.3,1.5300000000000002,0.3,3.5,1.0000000000,true,0.6000000000
RZE__to__LCJ_cand_4,0.3,6,11.3,1.5300000000000002,0.3,3.92,1.0000000000,true,0.5357142857
RZE__to__LCJ_cand_5,0.3,6,11.3,1.5300000000000002,0.3,4.2,1.0000000000,true,0.5000000000
RZE__to__LCJ_cand_6,0.3,6,11.3,1.5300000000000002,0.3,4.34,1.0000000000,true,0.5000000000
RZE__to__LCJ_cand_7,0.3,6,11.3,1.5300000000000002,0.3,4.76,1.0000000000,true,0.5000000000
RZE__to__LCJ_cand_8,0.3,6,11.3,1.5300000000000002,0.3,5.18,1.0000000000,true,0.5000000000
RZE__to__LCJ_cand_9,0.3,6,11.3,1.5300000000000002,0.3,5.6,1.0000000000,true,0.5000000000
RZE__to__LCJ_cand_10,0.3,6,11.3,1.9200000000000004,0.3,2.24,1.0000000000,true,0.9375000000
RZE__to__LCJ_cand_11,0.3,6,11.3,1.9200000000000004,0.3,2.66,1.0000000000,true,0.7894736842
RZE__to__LCJ_cand_12,0.3,6,11.3,1.9200000000000004,0.3,3.08,1.0000000000,true,0.6818181818
RZE__to__LCJ_cand_13,0.3,6,11.3,1.9200000000000004,0.3,3.5,1.0000000000,true,0.6000000000
RZE__to__LCJ_cand_14,0.3,6,11.3,1.9200000000000004,0.3,3.92,1.0000000000,true,0.5357142857
RZE__to__LCJ_cand_15,0.3,6,11.3,1.9200000000000004,0.3,4.2,1.0000000000,true,0.5000000000
RZE__to__LCJ_cand_16,0.3,6,11.3,1.9200000000000004,0.3,4.34,1.0000000000,true,0.5000000000
RZE__to__LCJ_cand_17,0.3,6,11.3,1.9200000000000004,0.3,4.76,1.0000000000,true,0.5000000000
RZE__to__LCJ_cand_18,0.3,6,11.3,1.9200000000000004,0.3,5.18,1.0000000000,true,0.5000000000
RZE__to__LCJ_cand_19,0.3,6,11.3,1.9200000000000004,0.3,5.6,1.0000000000,true,0.5000000000
RZE__to__LCJ_cand_20,0.3,6,11.3,2.3100000000000005,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_21,0.3,6,11.3,2.3100000000000005,0.3,2.66,1.0000000000,true,0.9352226721
RZE__to__LCJ_cand_22,0.3,6,11.3,2.3100000000000005,0.3,3.08,1.0000000000,true,0.8076923077
RZE__to__LCJ_cand_23,0.3,6,11.3,2.3100000000000005,0.3,3.5,1.0000000000,true,0.7107692308
RZE__to__LCJ_cand_24,0.3,6,11.3,2.3100000000000005,0.3,3.92,1.0000000000,true,0.6346153846
RZE__to__LCJ_cand_25,0.3,6,11.3,2.3100000000000005,0.3,4.2,1.0000000000,true,0.5923076923
RZE__to__LCJ_cand_26,0.3,6,11.3,2.3100000000000005,0.3,4.34,1.0000000000,true,0.5923076923
RZE__to__LCJ_cand_27,0.3,6,11.3,2.3100000000000005,0.3,4.76,1.0000000000,true,0.5923076923
RZE__to__LCJ_cand_28,0.3,6,11.3,2.3100000000000005,0.3,5.18,1.0000000000,true,0.5923076923
RZE__to__LCJ_cand_29,0.3,6,11.3,2.3100000000000005,0.3,5.6,1.0000000000,true,0.5923076923
RZE__to__LCJ_cand_30,0.3,6,11.3,2.7,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_31,0.3,6,11.3,2.7,0.3,2.66,1.0000000000,true,1.0000000000
