name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,POZ_efficiency
RZE__to__KAT_cand_132__to__POZ_cand_0,-0.24600000000000005,6,11.3,0.3450000000000004,0.3,-8.539000000000001,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_1,-0.24600000000000005,6,11.3,0.3450000000000004,0.3,-4.923300000000001,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_2,-0.24600000000000005,6,11.3,0.3450000000000004,0.3,-2.83,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_3,-0.24600000000000005,6,11.3,0.3450000000000004,0.3,-1.3076000000000008,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_4,-0.24600000000000005,6,11.3,0.3450000000000004,0.3,2.3080999999999996,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_5,-0.24600000000000005,6,11.3,0.3450000000000004,0.3,5.9238,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_6,-0.24600000000000005,6,11.3,0.3450000000000004,0.3,9.5395,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_7,-0.24600000000000005,6,11.3,0.3450000000000004,0.3,13.1552,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_8,-0.24600000000000005,6,11.3,0.3450000000000004,0.3,16.2,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_9,-0.24600000000000005,6,11.3,0.3450000000000004,0.3,16.7709,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_10,-0.24600000000000005,6,11.3,0.3450000000000004,0.3,20.3866,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_11,-0.24600000000000005,6,11.3,0.3450000000000004,0.3,24.002300000000005,1.0000000000,true,1.0000000000
