name,i1,i2,i3,i4,o1,o2
RZE__to__KAT_cand_2309__to__POZ_cand_0,0.8879999999999999,6,11.3,1.6149999999999998,0.3,0.7500000000000018
RZE__to__KAT_cand_2309__to__POZ_cand_1,0.8879999999999999,6,11.3,1.6149999999999998,0.3,2.370000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2,0.8879999999999999,6,11.3,1.6149999999999998,0.3,3.990000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_3,0.8879999999999999,6,11.3,1.6149999999999998,0.3,5.610000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_4,0.8879999999999999,6,11.3,1.6149999999999998,0.3,5.610000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_5,0.8879999999999999,6,11.3,1.6149999999999998,0.3,7.230000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_6,0.8879999999999999,6,11.3,1.6149999999999998,0.3,8.850000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_7,0.8879999999999999,6,11.3,1.6149999999999998,0.3,10.470000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_8,0.8879999999999999,6,11.3,1.6149999999999998,0.3,12.090000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_9,0.8879999999999999,6,11.3,1.6149999999999998,0.3,13.710000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_10,0.8879999999999999,6,11.3,1.6149999999999998,0.3,15.330000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_11,0.8879999999999999,6,11.3,1.6149999999999998,0.3,16.2
RZE__to__KAT_cand_2309__to__POZ_cand_12,0.8879999999999999,6,11.3,1.6149999999999998,0.3,16.950000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_13,0.8879999999999999,6,11.3,1.6149999999999998,0.3,18.57
RZE__to__KAT_cand_2309__to__POZ_cand_14,0.8879999999999999,6,11.3,1.6149999999999998,0.3,20.190000000000005
RZE__to__KAT_cand_2309__to__POZ_cand_15,0.8879999999999999,6,11.3,1.6149999999999998,0.3,21.810000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_16,0.8879999999999999,6,11.3,2.41,0.3,0.7500000000000018
RZE__to__KAT_cand_2309__to__POZ_cand_17,0.8879999999999999,6,11.3,2.41,0.3,2.370000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_18,0.8879999999999999,6,11.3,2.41,0.3,3.990000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_19,0.8879999999999999,6,11.3,2.41,0.3,5.610000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_20,0.8879999999999999,6,11.3,2.41,0.3,5.610000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_21,0.8879999999999999,6,11.3,2.41,0.3,7.230000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_22,0.8879999999999999,6,11.3,2.41,0.3,8.850000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_23,0.8879999999999999,6,11.3,2.41,0.3,10.470000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_24,0.8879999999999999,6,11.3,2.41,0.3,12.090000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_25,0.8879999999999999,6,11.3,2.41,0.3,13.710000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_26,0.8879999999999999,6,11.3,2.41,0.3,15.330000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_27,0.8879999999999999,6,11.3,2.41,0.3,16.2
RZE__to__KAT_cand_2309__to__POZ_cand_28,0.8879999999999999,6,11.3,2.41,0.3,16.950000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_29,0.8879999999999999,6,11.3,2.41,0.3,18.57
RZE__to__KAT_cand_2309__to__POZ_cand_30,0.8879999999999999,6,11.3,2.41,0.3,20.190000000000005
RZE__to__KAT_cand_2309__to__POZ_cand_31,0.8879999999999999,6,11.3,2.41,0.3,21.810000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_32,0.8879999999999999,6,11.3,3.2050000000000005,0.3,0.7500000000000018
RZE__to__KAT_cand_2309__to__POZ_cand_33,0.8879999999999999,6,11.3,3.2050000000000005,0.3,2.370000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_34,0.8879999999999999,6,11.3,3.2050000000000005,0.3,3.990000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_35,0.8879999999999999,6,11.3,3.2050000000000005,0.3,5.610000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_36,0.8879999999999999,6,11.3,3.2050000000000005,0.3,5.610000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_37,0.8879999999999999,6,11.3,3.2050000000000005,0.3,7.230000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_38,0.8879999999999999,6,11.3,3.2050000000000005,0.3,8.850000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_39,0.8879999999999999,6,11.3,3.2050000000000005,0.3,10.470000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_40,0.8879999999999999,6,11.3,3.2050000000000005,0.3,12.090000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_41,0.8879999999999999,6,11.3,3.2050000000000005,0.3,13.710000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_42,0.8879999999999999,6,11.3,3.2050000000000005,0.3,15.330000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_43,0.8879999999999999,6,11.3,3.2050000000000005,0.3,16.2
RZE__to__KAT_cand_2309__to__POZ_cand_44,0.8879999999999999,6,11.3,3.2050000000000005,0.3,16.950000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_45,0.8879999999999999,6,11.3,3.2050000000000005,0.3,18.57
RZE__to__KAT_cand_2309__to__POZ_cand_46,0.8879999999999999,6,11.3,3.2050000000000005,0.3,20.190000000000005
RZE__to__KAT_cand_2309__to__POZ_cand_47,0.8879999999999999,6,11.3,3.2050000000000005,0.3,21.810000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_48,0.8879999999999999,6,11.3,4.0,0.3,0.7500000000000018
RZE__to__KAT_cand_2309__to__POZ_cand_49,0.8879999999999999,6,11.3,4.0,0.3,2.370000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_50,0.8879999999999999,6,11.3,4.0,0.3,3.990000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_51,0.8879999999999999,6,11.3,4.0,0.3,5.610000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_52,0.8879999999999999,6,11.3,4.0,0.3,5.610000000000002
