name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,GDN_efficiency
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_0,0.02400000000000002,6,11.3,0.3550000000000004,0.3,-18.1807,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_1,0.02400000000000002,6,11.3,0.3550000000000004,0.3,-12.074290000000001,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_2,0.02400000000000002,6,11.3,0.3550000000000004,0.3,-8.539000000000001,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_3,0.02400000000000002,6,11.3,0.3550000000000004,0.3,-5.967880000000001,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_4,0.02400000000000002,6,11.3,0.3550000000000004,0.3,0.13852999999999938,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_5,0.02400000000000002,6,11.3,0.3550000000000004,0.3,6.24494,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_6,0.02400000000000002,6,11.3,0.3550000000000004,0.3,12.35135,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_7,0.02400000000000002,6,11.3,0.3550000000000004,0.3,18.45776,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_8,0.02400000000000002,6,11.3,0.3550000000000004,0.3,23.6,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_9,0.02400000000000002,6,11.3,0.3550000000000004,0.3,24.564170000000004,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_10,0.02400000000000002,6,11.3,0.3550000000000004,0.3,30.67058,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_11,0.02400000000000002,6,11.3,0.3550000000000004,0.3,36.77699,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_12,0.02400000000000002,6,11.3,0.8300000000000004,0.3,-18.1807,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_13,0.02400000000000002,6,11.3,0.8300000000000004,0.3,-12.074290000000001,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_14,0.02400000000000002,6,11.3,0.8300000000000004,0.3,-8.539000000000001,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_15,0.02400000000000002,6,11.3,0.8300000000000004,0.3,-5.967880000000001,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_16,0.02400000000000002,6,11.3,0.8300000000000004,0.3,0.13852999999999938,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_17,0.02400000000000002,6,11.3,0.8300000000000004,0.3,6.24494,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_18,0.02400000000000002,6,11.3,0.8300000000000004,0.3,12.35135,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_19,0.02400000000000002,6,11.3,0.8300000000000004,0.3,18.45776,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_20,0.02400000000000002,6,11.3,0.8300000000000004,0.3,23.6,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_21,0.02400000000000002,6,11.3,0.8300000000000004,0.3,24.564170000000004,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_22,0.02400000000000002,6,11.3,0.8300000000000004,0.3,30.67058,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__GDN_cand_23,0.02400000000000002,6,11.3,0.8300000000000004,0.3,36.77699,1.0000000000,true,1.0000000000
