name,i1,i2,i3,i4,o1,o2
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_0,-0.6059999999999999,6,11.3,-1.2649999999999997,0.3,-20.4907
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_1,-0.6059999999999999,6,11.3,-1.2649999999999997,0.3,-12.92129
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_2,-0.6059999999999999,6,11.3,-1.2649999999999997,0.3,-8.539000000000001
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_3,-0.6059999999999999,6,11.3,-1.2649999999999997,0.3,-5.351880000000001
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_4,-0.6059999999999999,6,11.3,-1.2649999999999997,0.3,2.21753
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_5,-0.6059999999999999,6,11.3,-1.2649999999999997,0.3,9.786939999999998
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_6,-0.6059999999999999,6,11.3,-1.2649999999999997,0.3,17.356349999999996
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_7,-0.6059999999999999,6,11.3,-1.2649999999999997,0.3,24.92576
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_8,-0.6059999999999999,6,11.3,-1.2649999999999997,0.3,31.3
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_9,-0.6059999999999999,6,11.3,-1.2649999999999997,0.3,32.49517
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_10,-0.6059999999999999,6,11.3,-1.2649999999999997,0.3,40.06457999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_11,-0.6059999999999999,6,11.3,-1.2649999999999997,0.3,47.63399
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_12,-0.6059999999999999,6,11.3,0.23600000000000043,0.3,-20.4907
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_13,-0.6059999999999999,6,11.3,0.23600000000000043,0.3,-12.92129
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_14,-0.6059999999999999,6,11.3,0.23600000000000043,0.3,-8.539000000000001
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_15,-0.6059999999999999,6,11.3,0.23600000000000043,0.3,-5.351880000000001
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_16,-0.6059999999999999,6,11.3,0.23600000000000043,0.3,2.21753
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_17,-0.6059999999999999,6,11.3,0.23600000000000043,0.3,9.786939999999998
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_18,-0.6059999999999999,6,11.3,0.23600000000000043,0.3,17.356349999999996
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_19,-0.6059999999999999,6,11.3,0.23600000000000043,0.3,24.92576
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_20,-0.6059999999999999,6,11.3,0.23600000000000043,0.3,31.3
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_21,-0.6059999999999999,6,11.3,0.23600000000000043,0.3,32.49517
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_22,-0.6059999999999999,6,11.3,0.23600000000000043,0.3,40.06457999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_23,-0.6059999999999999,6,11.3,0.23600000000000043,0.3,47.63399
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_24,-0.6059999999999999,6,11.3,1.1050000000000004,0.3,-20.4907
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_25,-0.6059999999999999,6,11.3,1.1050000000000004,0.3,-12.92129
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_26,-0.6059999999999999,6,11.3,1.1050000000000004,0.3,-8.539000000000001
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_27,-0.6059999999999999,6,11.3,1.1050000000000004,0.3,-5.351880000000001
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_28,-0.6059999999999999,6,11.3,1.1050000000000004,0.3,2.21753
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_29,-0.6059999999999999,6,11.3,1.1050000000000004,0.3,9.786939999999998
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_30,-0.6059999999999999,6,11.3,1.1050000000000004,0.3,17.356349999999996
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_31,-0.6059999999999999,6,11.3,1.1050000000000004,0.3,24.92576
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_32,-0.6059999999999999,6,11.3,1.1050000000000004,0.3,31.3
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_33,-0.6059999999999999,6,11.3,1.1050000000000004,0.3,32.49517
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_34,-0.6059999999999999,6,11.3,1.1050000000000004,0.3,40.06457999999999
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_35,-0.6059999999999999,6,11.3,1.1050000000000004,0.3,47.63399
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_36,-0.6059999999999999,6,11.3,1.7370000000000005,0.3,-20.4907
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_37,-0.6059999999999999,6,11.3,1.7370000000000005,0.3,-12.92129
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_38,-0.6059999999999999,6,11.3,1.7370000000000005,0.3,-8.539000000000001
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_39,-0.6059999999999999,6,11.3,1.7370000000000005,0.3,-5.351880000000001
RZE__to__KAT_cand_132__to__POZ_cand_372__to__KRK_cand_40,-0.6059999999999999,6,11.3,1.7370000000000005,0.3,2.21753
