name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,WRO_efficiency
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_0,-0.12599999999999995,6,11.3,0.20500000000000052,0.3,-16.740700000000004,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_1,-0.12599999999999995,6,11.3,0.20500000000000052,0.3,-11.546290000000003,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_2,-0.12599999999999995,6,11.3,0.20500000000000052,0.3,-8.539000000000001,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_3,-0.12599999999999995,6,11.3,0.20500000000000052,0.3,-6.351880000000001,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_4,-0.12599999999999995,6,11.3,0.20500000000000052,0.3,-1.15747,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_5,-0.12599999999999995,6,11.3,0.20500000000000052,0.3,4.036940000000001,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_6,-0.12599999999999995,6,11.3,0.20500000000000052,0.3,9.231350000000003,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_7,-0.12599999999999995,6,11.3,0.20500000000000052,0.3,14.425760000000004,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_8,-0.12599999999999995,6,11.3,0.20500000000000052,0.3,18.8,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_9,-0.12599999999999995,6,11.3,0.20500000000000052,0.3,19.62017,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_10,-0.12599999999999995,6,11.3,0.20500000000000052,0.3,24.814580000000007,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_11,-0.12599999999999995,6,11.3,0.20500000000000052,0.3,30.00899000000001,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_12,-0.12599999999999995,6,11.3,0.7750000000000006,0.3,-16.740700000000004,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_13,-0.12599999999999995,6,11.3,0.7750000000000006,0.3,-11.546290000000003,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_14,-0.12599999999999995,6,11.3,0.7750000000000006,0.3,-8.539000000000001,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_15,-0.12599999999999995,6,11.3,0.7750000000000006,0.3,-6.351880000000001,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_16,-0.12599999999999995,6,11.3,0.7750000000000006,0.3,-1.15747,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_17,-0.12599999999999995,6,11.3,0.7750000000000006,0.3,4.036940000000001,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_132__to__POZ_cand_372__to__WRO_cand_18,-0.12599999999999995,6,11.3,0.7750000000000006,0.3,9.231350000000003,1.0000000000,true,1.0000000000
