name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,KRK_efficiency,min_distance_to_false
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__KRK_cand_16,1.7940000000000011,6,11.3,0.0349999999999997,0.3,-2.1599999999999984,1.0,True,1.0,0.79
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__KRK_cand_17,1.7940000000000011,6,11.3,0.0349999999999997,0.3,0.970000000000002,1.0,True,1.0,0.79
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__KRK_cand_784,2.7240000000000006,6,11.3,0.0349999999999997,0.3,-2.1599999999999984,1.0,True,1.0,0.79
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__KRK_cand_1041,2.724000000000001,6,11.3,0.0349999999999997,0.3,0.970000000000002,1.0,True,1.0,0.79
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__KRK_cand_2320,3.964,6,11.3,0.0349999999999997,0.3,-2.1599999999999984,1.0,True,1.0,0.79
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__KRK_cand_1040,2.724000000000001,6,11.3,0.0349999999999997,0.3,-2.1599999999999984,1.0,True,1.0,0.79
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__KRK_cand_2321,3.964,6,11.3,0.0349999999999997,0.3,0.970000000000002,1.0,True,1.0,0.79
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__KRK_cand_785,2.7240000000000006,6,11.3,0.0349999999999997,0.3,0.970000000000002,1.0,True,1.0,0.79
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__KRK_cand_819,2.7240000000000006,6,11.3,1.6149999999999998,0.3,7.230000000000002,1.0,True,1.0,0.79
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__KRK_cand_1826,3.3440000000000003,6,11.3,0.8249999999999997,0.3,4.100000000000002,1.0,True,1.0,0.79
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__KRK_cand_1075,2.724000000000001,6,11.3,1.6149999999999998,0.3,7.230000000000002,1.0,True,1.0,0.79
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__KRK_cand_2355,3.964,6,11.3,1.6149999999999998,0.3,7.230000000000002,1.0,True,1.0,0.79
