name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,KRK_efficiency
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__KRK_cand_0,1.7940000000000011,6,11.3,-0.7550000000000003,0.3,-2.1599999999999984,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__KRK_cand_1,1.7940000000000011,6,11.3,-0.7550000000000003,0.3,0.970000000000002,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__KRK_cand_2,1.7940000000000011,6,11.3,-0.7550000000000003,0.3,4.100000000000002,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__KRK_cand_3,1.7940000000000011,6,11.3,-0.7550000000000003,0.3,7.230000000000002,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__KRK_cand_4,1.7940000000000011,6,11.3,-0.7550000000000003,0.3,10.360000000000003,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__KRK_cand_5,1.7940000000000011,6,11.3,-0.7550000000000003,0.3,13.490000000000004,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__KRK_cand_6,1.7940000000000011,6,11.3,-0.7550000000000003,0.3,16.620000000000005,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__KRK_cand_7,1.7940000000000011,6,11.3,-0.7550000000000003,0.3,19.750000000000007,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__KRK_cand_8,1.7940000000000011,6,11.3,-0.7550000000000003,0.3,22.880000000000003,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__KRK_cand_9,1.7940000000000011,6,11.3,-0.7550000000000003,0.3,26.010000000000005,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__KRK_cand_10,1.7940000000000011,6,11.3,-0.7550000000000003,0.3,29.140000000000008,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__KRK_cand_11,1.7940000000000011,6,11.3,-0.7550000000000003,0.3,31.3,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__KRK_cand_12,1.7940000000000011,6,11.3,-0.7550000000000003,0.3,32.27000000000001,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__KRK_cand_13,1.7940000000000011,6,11.3,-0.7550000000000003,0.3,35.400000000000006,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__KRK_cand_14,1.7940000000000011,6,11.3,-0.7550000000000003,0.3,38.53000000000001,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__KRK_cand_15,1.7940000000000011,6,11.3,-0.7550000000000003,0.3,41.66000000000001,1.0000000000,true,1.0000000000
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__KRK_cand_16,1.7940000000000011,6,11.3,0.0349999999999997,0.3,-2.1599999999999984,1.0000000000,true,1.0000000000
