name,i1,i2,i3,i4,o1,o2
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_0,-0.4259999999999988,6,11.3,-0.4850000000000003,0.3,-31.679999999999993
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_1,-0.4259999999999988,6,11.3,-0.4850000000000003,0.3,-18.709999999999994
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_2,-0.4259999999999988,6,11.3,-0.4850000000000003,0.3,-5.739999999999995
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_3,-0.4259999999999988,6,11.3,-0.4850000000000003,0.3,7.230000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_4,-0.4259999999999988,6,11.3,-0.4850000000000003,0.3,7.230000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_5,-0.4259999999999988,6,11.3,-0.4850000000000003,0.3,20.200000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_6,-0.4259999999999988,6,11.3,-0.4850000000000003,0.3,33.17
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_7,-0.4259999999999988,6,11.3,-0.4850000000000003,0.3,46.14
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_8,-0.4259999999999988,6,11.3,-0.4850000000000003,0.3,59.11
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_9,-0.4259999999999988,6,11.3,-0.4850000000000003,0.3,72.08
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_10,-0.4259999999999988,6,11.3,-0.4850000000000003,0.3,85.05
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_11,-0.4259999999999988,6,11.3,-0.4850000000000003,0.3,98.02
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_12,-0.4259999999999988,6,11.3,-0.4850000000000003,0.3,110.99
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_13,-0.4259999999999988,6,11.3,-0.4850000000000003,0.3,123.96
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_14,-0.4259999999999988,6,11.3,-0.4850000000000003,0.3,129.7
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_15,-0.4259999999999988,6,11.3,-0.4850000000000003,0.3,136.93
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_16,-0.4259999999999988,6,11.3,-0.4850000000000003,0.3,149.89999999999998
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_17,-0.4259999999999988,6,11.3,-0.4850000000000003,0.3,162.87
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_18,-0.4259999999999988,6,11.3,-0.4850000000000003,0.3,175.83999999999997
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_19,-0.4259999999999988,6,11.3,0.21499999999999975,0.3,-31.679999999999993
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_20,-0.4259999999999988,6,11.3,0.21499999999999975,0.3,-18.709999999999994
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_21,-0.4259999999999988,6,11.3,0.21499999999999975,0.3,-5.739999999999995
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_22,-0.4259999999999988,6,11.3,0.21499999999999975,0.3,7.230000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_23,-0.4259999999999988,6,11.3,0.21499999999999975,0.3,7.230000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_24,-0.4259999999999988,6,11.3,0.21499999999999975,0.3,20.200000000000003
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_25,-0.4259999999999988,6,11.3,0.21499999999999975,0.3,33.17
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_26,-0.4259999999999988,6,11.3,0.21499999999999975,0.3,46.14
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_27,-0.4259999999999988,6,11.3,0.21499999999999975,0.3,59.11
