name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,WRO_efficiency,min_distance_to_false
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_79,0.6827999999999997,6,11.3,1.915,0.3,9.110000000000005,1.0,True,1.0,0.2724000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_94,0.6827999999999997,6,11.3,2.215,0.3,9.110000000000005,1.0,True,1.0,0.2724000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_64,0.6827999999999997,6,11.3,1.615,0.3,9.110000000000005,1.0,True,1.0,0.2724000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_109,0.6827999999999997,6,11.3,2.515,0.3,9.110000000000005,1.0,True,1.0,0.2724000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_124,0.6827999999999997,6,11.3,2.8150000000000004,0.3,9.110000000000005,1.0,True,1.0,0.2724000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_49,0.6827999999999997,6,11.3,1.6149999999999998,0.3,9.110000000000005,1.0,True,1.0,0.2724000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_139,0.6827999999999997,6,11.3,3.0,0.3,9.110000000000005,1.0,True,1.0,0.2724000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_154,0.6827999999999997,6,11.3,3.115,0.3,9.110000000000005,1.0,True,1.0,0.2724000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_169,0.6827999999999997,6,11.3,3.415,0.3,9.110000000000005,1.0,True,1.0,0.2724000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_199,0.6827999999999997,6,11.3,4.015000000000001,0.3,9.110000000000005,1.0,True,1.0,0.2724000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_184,0.6827999999999997,6,11.3,3.715,0.3,9.110000000000005,1.0,True,1.0,0.2724000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2134,3.1344000000000007,6,11.3,1.315,0.3,9.110000000000005,1.0,True,1.0,0.2999999999999998
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2554,3.6792000000000007,6,11.3,1.315,0.3,9.110000000000005,1.0,True,1.0,0.2999999999999998
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2344,3.406800000000001,6,11.3,1.315,0.3,9.110000000000005,1.0,True,1.0,0.2999999999999998
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_1714,2.724000000000001,6,11.3,1.315,0.3,9.110000000000005,1.0,True,1.0,0.2999999999999998
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_454,1.2275999999999998,6,11.3,1.315,0.3,9.110000000000005,1.0,True,1.0,0.2999999999999998
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_874,1.7724000000000002,6,11.3,1.315,0.3,9.110000000000005,1.0,True,1.0,0.2999999999999998
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_1924,2.8620000000000005,6,11.3,1.315,0.3,9.110000000000005,1.0,True,1.0,0.2999999999999998
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_244,0.9551999999999998,6,11.3,1.315,0.3,9.110000000000005,1.0,True,1.0,0.2999999999999998
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_664,1.5,6,11.3,1.315,0.3,9.110000000000005,1.0,True,1.0,0.2999999999999998
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_1084,2.0448000000000004,6,11.3,1.315,0.3,9.110000000000005,1.0,True,1.0,0.2999999999999998
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_1504,2.5896000000000003,6,11.3,1.315,0.3,9.110000000000005,1.0,True,1.0,0.2999999999999998
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_1294,2.3172,6,11.3,1.315,0.3,9.110000000000005,1.0,True,1.0,0.2999999999999998
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_1682,2.724000000000001,6,11.3,0.7149999999999999,0.3,5.350000000000002,1.0,True,1.0,0.30000000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_1262,2.3172,6,11.3,0.7149999999999999,0.3,5.350000000000002,1.0,True,1.0,0.30000000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2538,3.6792000000000007,6,11.3,1.015,0.3,7.230000000000002,1.0,True,1.0,0.30000000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_438,1.2275999999999998,6,11.3,1.015,0.3,7.230000000000002,1.0,True,1.0,0.30000000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_1472,2.5896000000000003,6,11.3,0.7149999999999999,0.3,5.350000000000002,1.0,True,1.0,0.30000000000000004
